Game,Score,Record,Time
1,0,0,10
2,0,0,4
3,0,0,10
4,0,0,10
5,0,0,10
6,0,0,10
7,0,0,10
8,0,0,10
9,0,0,3
10,0,0,10
11,0,0,10
12,0,0,7
13,0,0,6
14,1,1,3
15,0,1,8
16,0,1,10
