Game,Score,Reward,Loss,Q_value
0.0,0.0,-2.2312193450002478,0.4127699418200387,-2.102976679801941
1.0,0.0,-1.6717407359465284,0.15129638206811175,-0.9069554805755615
2.0,0.0,-0.9751261316785195,0.08454966249154967,-0.13018009066581726
3.0,0.0,-1.5487995863989859,0.06250692374085423,-0.5460008531808853
4.0,0.0,-1.6869063634644408,0.12540518958563746,-0.36365844309329987
5.0,0.0,-1.6946508435452259,0.08585883697842252,-0.524365209043026
6.0,0.0,-2.2433887076347223,0.04102164282200382,-0.36044177412986755
7.0,0.0,-1.854683718086506,0.051145990436937516,-0.16814590245485306
8.0,0.0,-1.2815484611778543,0.18285363145343056,-0.5392248779535294
9.0,0.0,-1.0767271964238845,0.10759515480809032,-0.29475314915180206
10.0,0.0,-1.5674083391029998,0.14240903927941417,-0.7931913435459137
11.0,0.0,-5.876832518505538,1.2132912652624317,-5.237920165061951
12.0,1.0,-1.8356307525082225,0.09294394041208776,-0.5300546288490295
13.0,0.0,-1.7420339853926048,0.06953697817486343,-0.43876831233501434
14.0,0.0,-1.8648170896999003,0.20193768721765082,-0.308859771117568
15.0,0.0,-3.99498673562355,0.8272075437562307,-2.9519529044628143
16.0,0.0,-1.6778198294428723,0.07022749471986839,-0.49021654576063156
17.0,0.0,-1.3485168186985748,0.10524163016630884,-0.5806038863956928
18.0,0.0,-0.8113321195704966,0.04465295098240739,-0.12003272026777267
19.0,0.0,-1.3976798038400888,0.04266710851078642,-0.5673254504799843
20.0,0.0,-0.4157923813427463,0.11372689182462636,0.3136793524026871
21.0,0.0,-1.0347370460383865,0.03727916752289345,-0.2734256908297539
22.0,1.0,0.14484215580122367,0.280053345952183,0.8116071075201035
23.0,0.0,-2.1188770969482604,0.20610851860258594,-1.2574259340763092
24.0,0.0,-2.0509044461972215,0.03547267834460399,-0.5119983777403831
25.0,0.0,-0.5451788311723622,0.13258935812239847,0.872746467590332
26.0,0.0,-0.6360892233854984,0.08958199586753751,-0.14683375507593155
27.0,0.0,-1.6348741137506253,0.0721442631753645,-0.7473161518573761
28.0,0.0,-2.0727756309586196,0.5173123170535565,-1.1985209584236145
29.0,0.0,-6.7214332348392105,1.4657076092519086,-6.325421571731567
30.0,0.0,-1.9644243267210726,0.1381101880397182,-1.1737887263298035
31.0,0.0,-2.4648855844604047,0.0745185705551141,-0.8970948159694672
32.0,0.0,-4.125850278630682,0.8886402025867928,-3.3672676384449005
33.0,0.0,-2.1974774811907336,0.07382902919880507,-0.6365651674568653
34.0,1.0,-1.7650099262286492,0.17876147986104532,-0.6712762117385864
35.0,0.0,-2.052532358960363,0.28632813765432635,-0.5437532216310501
36.0,0.0,-0.6487301082665774,0.0881256079301238,0.37037454545497894
37.0,0.0,-2.051187936314314,0.061644406424041634,-0.9254539608955383
38.0,0.0,-5.720993946237639,1.2163673587093664,-5.264675781130791
39.0,1.0,-0.5004154610416595,0.25854454131331295,0.7511479705572128
40.0,0.0,-2.2434194652247648,0.15290927917283187,-1.0922852754592896
41.0,0.0,-1.874163994046666,0.05375464421207046,-0.6225970089435577
42.0,0.0,-3.767343507147634,0.42736963167165715,-2.5458558201789856
43.0,0.0,-1.8386338924530679,0.1585379888242522,-0.8642387986183167
44.0,0.0,-1.7635177026216158,0.12686329920446343,-0.7739020138978958
45.0,0.0,-2.5249795469189893,0.07018179335729124,-1.0680283308029175
46.0,0.0,-2.108209578554974,0.10224615109132174,-0.1338655725121498
47.0,0.0,-0.7862029797668677,0.146428736754976,0.7954084277153015
48.0,0.0,-1.8925757617573558,0.09707614983199164,-0.10780602693557739
49.0,0.0,-2.7234548791768427,0.49477266561582384,-1.9313367009162903
50.0,0.0,-2.1074943436041895,0.08135918456622783,-1.4965964555740356
51.0,0.0,-2.4851259443799085,0.2058824561542792,-1.1867881417274475
52.0,0.0,-2.3938408635921355,0.37261109043320517,-1.2489404678344727
53.0,0.0,-3.00137109136451,0.5613097012569294,-1.8604351580142975
54.0,0.0,-1.716543758908375,0.050080887946172006,-0.813159853219986
55.0,0.0,-1.9432105621718119,0.10143050835815702,-0.8376706093549728
56.0,0.0,-1.7713768270387216,0.12575219507052438,-0.7926870286464691
57.0,0.0,-1.2925627727048172,0.008248751105239528,-0.5475516468286514
58.0,0.0,-1.8305776453577218,0.257945124042885,-0.8950274437665939
59.0,0.0,-2.402294055962111,0.17634872188484002,-1.5336520075798035
60.0,0.0,-2.3110526641146247,0.1289501111337813,-1.1727489233016968
61.0,0.0,-2.5472515002161193,0.2551277455300036,-1.5495752394199371
62.0,0.0,-0.5601181013624121,0.22844658378744498,0.6500244736671448
63.0,0.0,-2.5560903364344965,0.29130774874710486,-1.897684097290039
64.0,0.0,-3.9729678065617926,1.0017558356921654,-2.9188990592956543
65.0,0.0,-1.7736221062752864,0.044309114961600116,-0.7846211194992065
66.0,0.0,-1.7720920014533532,0.07524354021612235,-0.8068654760718346
67.0,0.0,-1.3373019215258544,0.05554085503221656,-0.45962896943092346
68.0,0.0,-1.9534946645474902,0.11983250722675244,-1.021255999803543
69.0,0.0,-1.665617853310981,0.03529351654664518,-0.8228111267089844
70.0,0.0,-1.241672792506435,0.10067289730915302,-0.6255609840154648
71.0,0.0,-1.880229166733737,0.06217183733343136,-0.984182208776474
72.0,0.0,-1.5867522138384893,0.1050842442350325,-0.8836422488093376
73.0,0.0,-6.644648421845169,1.4632177299492468,-5.993389368057251
74.0,0.0,-1.0374674196745928,0.032627559173058464,-0.4759535938501358
75.0,0.0,-1.0518587520401628,0.04397646493626646,-0.6574784219264984
