Game,Score,Reward,Loss,Q_value
17246.0,1.5,0.556122002910856,0.05565895244471904,14.701582908630371
17247.0,2.0,1.7629076500864542,0.06612622489928476,16.374176025390625
17248.0,1.5,1.5803049409660628,0.08972915668874534,15.959936618804932
17249.0,1.5,1.0386041724450301,0.13860168995563005,15.752927780151367
17250.0,2.0,2.4338077683166444,0.15818711611551836,17.691784858703613
17251.0,1.5,1.042686960212098,0.09963451215250341,15.772419452667236
17252.0,2.0,1.897397414332722,0.13465077911248774,17.101682662963867
17253.0,1.5,-0.985904486717874,0.09634066199047472,13.675140857696533
17254.0,1.5,0.20939417717176706,0.07702646920311963,14.788342952728271
17255.0,2.0,0.41743152300365216,0.2784652746360862,15.835200786590576
17256.0,1.5,1.0130032424514583,0.08266176072943844,15.802832126617432
17257.0,1.5,1.0443941763522284,0.10018605662480695,15.888997077941895
17258.0,1.0,-1.0844863373541798,1.2043700515473799,11.473363637924194
17259.0,1.5,0.4583297149146082,0.30625159270241875,14.997447967529297
17260.0,1.5,0.5838263479984508,0.05995591764991938,14.976402759552002
17261.0,2.0,2.4387615836661176,0.09975830873510608,17.549342155456543
17262.0,1.5,0.8186409094169482,0.06302376556932358,15.386039733886719
17263.0,1.5,-4.152038566651538,0.0177817010132399,6.844799518585205
17264.0,2.0,0.07818757976159722,0.08443360939562461,14.415313243865967
17265.0,1.0,-0.5089013422878337,0.7471291027850715,12.591288089752197
17266.0,2.0,0.45451332622708807,0.025523838805407324,14.657540321350098
17267.0,1.5,1.6430957346877488,0.12123779570972529,15.828979969024658
17268.0,1.5,1.1421057035336832,0.17240193013184046,14.930247783660889
17269.0,2.0,1.2382732426769534,0.11425957784485775,15.74782419204712
17270.0,1.5,-7.123109527203514,0.20070036686956882,1.9086332321166992
17271.0,2.0,1.3746764022444358,0.050863195640940106,16.738494873046875
17272.0,2.0,1.8215368823364981,0.06056194069592872,16.94454860687256
17273.0,2.0,0.653655999423929,0.06545511481507067,15.493837833404541
17274.0,1.5,-1.2890173410095846,0.08733617647521896,12.473877429962158
17275.0,2.0,1.1323560419581005,0.08716466241784451,15.39900255203247
17276.0,1.5,0.7899549378457589,0.06520781887757396,15.151477813720703
17277.0,1.5,-1.6263738540021717,0.06335355064597495,11.180159568786621
17278.0,1.5,-9.847413821993465,4.365075325682903,-2.678586483001709
17279.0,2.0,0.984663282681931,0.09272588362040685,15.19324779510498
17280.0,2.0,1.678568720579056,0.082854553898568,16.44864845275879
17281.0,2.0,-0.41852879661642195,0.09425100107910112,13.652495384216309
17282.0,1.5,0.3881674227793256,0.14661121696606616,14.605441093444824
17283.0,2.0,1.139873178335726,0.049373591422214425,15.922243118286133
17284.0,1.5,0.4686916574720038,0.4173472204082175,14.264976978302002
17285.0,1.5,0.519635828582814,0.05209902129806543,14.919996738433838
17286.0,1.5,-1.1426579358798468,0.054551979572902067,11.89490795135498
17287.0,2.0,1.7581110986886168,0.09518731307695237,16.686508178710938
17288.0,1.5,1.1650598692534333,0.12387820805241964,15.57118272781372
17289.0,1.5,0.5706933966559575,0.033464210752336424,14.894737720489502
17290.0,1.5,-3.938199112229719,0.07962003628725874,7.490774631500244
17291.0,1.5,0.7340270376197979,0.10452436970478664,15.45212459564209
17292.0,1.5,-0.7061308996238469,0.04561594493499159,12.87140941619873
17293.0,1.5,1.030313487949573,0.0836004832905764,15.9214448928833
17294.0,1.5,1.3810395425675812,0.07293676171061672,16.058173179626465
17295.0,2.0,1.7198630303086913,0.03793968864300723,16.58236312866211
17296.0,2.0,0.20893533734425362,0.20474102661548252,15.24015760421753
17297.0,1.5,0.12118472473353331,0.054449862299655004,13.504709720611572
17298.0,2.0,-0.12530540858857658,0.32796754685529905,13.411107540130615
17299.0,1.5,0.32894207490371596,0.045057594323228534,14.300085067749023
17300.0,1.5,-0.8933586116895175,0.10397330946279403,12.033473014831543
17301.0,1.5,0.8862915878138667,0.12037042078741773,14.881105422973633
17302.0,1.5,0.8738581068549556,0.026704469486636497,15.019866466522217
17303.0,2.0,1.2440186469113645,0.059600943588593164,15.458855152130127
17304.0,2.0,1.5091431700465505,0.11079835050580042,16.078686714172363
17305.0,2.0,0.878623391633268,0.16404492353280423,15.393980026245117
17306.0,2.0,1.385084839236986,0.07619987791668589,15.789294719696045
17307.0,1.5,1.1304834042569598,0.08363106656676383,15.131285190582275
17308.0,1.5,1.016463069403283,0.1773686351059185,15.16696548461914
17309.0,2.0,1.6631264558992949,0.03329006066259252,16.080560207366943
17310.0,1.5,-9.42478575918616,4.510107596481578,-2.730733871459961
17311.0,1.5,-3.16415092156394,0.08506085481489467,7.665912389755249
17312.0,1.5,-0.6178174937696588,0.05117386039637495,12.183234214782715
17313.0,1.5,0.5240562692060976,0.3117212936006884,14.487751960754395
17314.0,2.0,1.194663728791238,0.2174126377130482,15.180530071258545
17315.0,1.0,-1.7733665835571526,1.7935951756906114,8.666276216506958
17316.0,2.0,0.7214668128581108,0.06896346480966713,14.353306770324707
17317.0,1.5,1.2372329102872546,0.12025512345354544,15.20315933227539
17318.0,1.5,-1.5664591620532717,0.1964314336915057,10.476028442382812
17319.0,2.0,0.10715696724421774,0.2108684946782887,13.726215839385986
17320.0,1.5,1.0497662987250342,0.16065821043478706,15.388127326965332
17321.0,2.0,-0.28841695664549644,0.11375876347903419,13.010388851165771
17322.0,2.0,0.9610479686579958,0.09289125593338238,15.371200561523438
17323.0,1.5,-1.1545134107429549,0.2798235434005619,11.358587265014648
17324.0,1.5,-0.9611443832501058,0.07559201018759851,11.311898708343506
17325.0,2.0,1.4521817318891923,0.09532767843606477,15.662082195281982
17326.0,1.5,0.23774464027722925,0.2687217345632551,14.02819013595581
17327.0,2.0,0.7171381449542301,0.07755123932753558,14.434905529022217
17328.0,1.0,-3.5429297051561055,1.5503363078460097,6.358142137527466
17329.0,1.0,0.04517707636732249,0.6133667457439255,12.937164783477783
17330.0,1.5,-10.001268203763873,4.240653894867864,-2.8190555572509766
17331.0,1.5,0.7131100891312563,0.0568166757591943,13.988186836242676
17332.0,1.5,-3.5638417972316865,0.5030025135991829,7.085224628448486
17333.0,1.5,1.1655658707257008,0.1670731672173268,14.926829814910889
17334.0,1.5,0.7672864423677104,0.06690700561489149,14.120629787445068
17335.0,1.5,-0.23767595427314203,0.07701317035291974,12.306142330169678
