Game,Score,Epsilon,Reward,Loss,Q_value
143.0,0,857.0,4.0,1.0,5.0
144.0,0,856.0,3.0,1.0,3.0
145.0,0,855.0,3.0,0.0,7.0
146.0,2,854.0,4.0,0.0,4.0
147.0,1,853.0,3.0,1.0,6.0
148.0,0,852.0,3.0,0.0,5.0
149.0,1,851.0,3.0,0.0,4.0
150.0,0,850.0,3.0,0.0,3.0
151.0,1,849.0,3.0,0.0,8.0
152.0,1,848.0,3.0,0.0,2.0
153.0,0,847.0,4.0,1.0,4.0
154.0,0,846.0,3.0,0.0,7.0
155.0,1,845.0,3.0,0.0,4.0
156.0,0,844.0,3.0,0.0,2.0
157.0,0,843.0,3.0,0.0,2.0
158.0,0,842.0,4.0,0.0,2.0
159.0,0,841.0,3.0,0.0,2.0
160.0,0,840.0,4.0,0.0,6.0
161.0,0,839.0,3.0,1.0,4.0
162.0,0,838.0,3.0,0.0,3.0
163.0,1,837.0,4.0,0.0,1.0
164.0,0,836.0,4.0,1.0,4.0
165.0,0,835.0,3.0,1.0,6.0
166.0,0,834.0,4.0,1.0,2.0
167.0,0,833.0,3.0,0.0,5.0
168.0,0,832.0,4.0,1.0,5.0
169.0,1,831.0,3.0,1.0,-1.0
170.0,0,830.0,3.0,0.0,2.0
171.0,0,829.0,3.0,0.0,3.0
172.0,0,828.0,3.0,0.0,4.0
173.0,0,827.0,4.0,0.0,4.0
174.0,1,826.0,3.0,0.0,3.0
175.0,0,825.0,3.0,0.0,3.0
176.0,0,824.0,3.0,0.0,2.0
177.0,1,823.0,3.0,0.0,4.0
178.0,0,822.0,3.0,0.0,3.0
179.0,1,821.0,3.0,0.0,3.0
180.0,0,820.0,3.0,0.0,5.0
181.0,0,819.0,3.0,0.0,5.0
182.0,0,818.0,3.0,1.0,4.0
183.0,0,817.0,3.0,0.0,5.0
184.0,0,816.0,4.0,0.0,3.0
185.0,0,815.0,3.0,0.0,3.0
186.0,0,814.0,4.0,0.0,3.0
187.0,0,813.0,3.0,0.0,2.0
188.0,0,812.0,3.0,1.0,3.0
189.0,1,811.0,3.0,0.0,4.0
190.0,1,810.0,4.0,0.0,5.0
191.0,0,809.0,3.0,0.0,5.0
192.0,0,808.0,4.0,0.0,5.0
193.0,0,807.0,3.0,0.0,3.0
194.0,2,806.0,3.0,0.0,2.0
195.0,1,805.0,3.0,0.0,0.0
196.0,0,804.0,3.0,0.0,2.0
197.0,0,803.0,3.0,0.0,2.0
198.0,0,802.0,3.0,1.0,4.0
199.0,1,801.0,4.0,0.0,7.0
200.0,0,800.0,3.0,0.0,0.0
201.0,0,799.0,3.0,1.0,0.0
202.0,1,798.0,3.0,0.0,1.0
203.0,1,797.0,3.0,0.0,6.0
204.0,2,796.0,3.0,1.0,-2.0
205.0,1,795.0,3.0,0.0,4.0
206.0,1,794.0,4.0,1.0,2.0
207.0,0,793.0,3.0,0.0,6.0
208.0,0,792.0,4.0,1.0,3.0
209.0,0,791.0,4.0,0.0,3.0
210.0,0,790.0,3.0,0.0,4.0
211.0,0,789.0,3.0,0.0,4.0
212.0,1,788.0,3.0,0.0,5.0
213.0,0,787.0,3.0,0.0,2.0
213.0,0,787.0,3.0,0.0,4.0
214.0,0,786.0,3.0,0.0,3.0
214.0,0,786.0,3.0,0.0,6.0
215.0,0,785.0,3.0,0.0,4.0
216.0,0,784.0,3.0,1.0,6.0
217.0,0,783.0,4.0,0.0,3.0
218.0,1,782.0,4.0,1.0,-2.0
219.0,0,781.0,3.0,0.0,3.0
220.0,0,780.0,3.0,0.0,5.0
